farmid,flockid,cycle,weekid,week,nb_chicken,feed_intake_kg_bird_week,Weight_kg_bird_week,kg_total_chicken,no_feed,code,feedname,company,form,stage,species,no_anti,option,no_option,option_order,anti_name,concentration,amount_anti_mg/kg/week
75-001,75-001_1,1,75-001_1_1,1,210,0.077,0.05,10.5,1,FE001,COMFEED 621,JAPFA,C,Brooding ,Chicken,1,0,0,1,enramycin,10,15.4
75-001,75-001_1,1,75-001_1_2,2,207,0.139,0.09,18.63,1,FE001,COMFEED 621,JAPFA,C,Brooding ,Chicken,1,0,0,1,enramycin,10,15.44444444
75-001,75-001_1,1,75-001_1_3,3,207,0.193,0.25,51.75,1,FE001,COMFEED 621,JAPFA,C,Brooding ,Chicken,1,0,0,1,enramycin,10,7.72
75-001,75-001_1,1,75-001_1_4,4,206,0.246,0.43,88.58,1,FE002,COMFEED 622,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,5.720930233
75-001,75-001_1,1,75-001_1_5,5,206,0.293,0.53,109.18,1,FE002,COMFEED 622,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,5.528301887
75-001,75-001_1,1,75-001_1_6,6,206,0.309,0.63,129.78,1,FE002,COMFEED 622,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,4.904761905
75-001,75-001_1,1,75-001_1_7,7,204,0.319,0.69,140.76,1,FE003,COMFEED 623,JAPFA,P,Finishing,Chicken,0,NA,NA,NA,NA,NA,NA
75-001,75-001_1,1,75-001_1_8,8,204,0.347,0.74,150.96,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_1,1,75-001_1_9,9,202,0.374,0.83,167.66,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_1,1,75-001_1_10,10,202,0.402,0.91,183.82,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_1,1,75-001_1_11,11,196,0.423,1,196,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_1,1,75-001_1_12,12,196,0.444,1.14,223.44,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_1,1,75-001_1_13,13,196,0.464,1.32,258.72,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_1,1,75-001_1_14,14,182,0.485,1.4,254.8,1,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,3.464285714
75-001,75-001_1,1,75-001_1_15,15,175,0.513,1.42,248.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_1,1,75-001_1_16,16,162,0.534,1.51,244.62,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_1,1,75-001_1_17,17,157,0.547,1.56,244.92,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_1,1,75-001_1_18,18,157,0.561,1.6,251.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_1,1,75-001_1_19,19,146,0.568,1.69,246.74,1,FE002,COMFEED 622,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,3.360946746
75-001,75-001_1,1,75-001_1_20,20,140,0.589,1.77,247.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_1,1,75-001_1_21,21,140,0.658,1.81,253.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_1,1,75-001_1_22,22,130,0.728,1.86,241.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_1,1,75-001_1_23,23,110,0.755,1.93,212.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_1,1,75-001_1_24,24,90,0.762,2,180,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_1,1,75-001_1_25,25,78,0.762,2.1,163.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_1,1,75-001_1_26,26,68,0.762,2.15,146.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_1,1,75-001_1_27,27,38,0.762,2.2,83.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_2,2,75-001_2_1,1,204,0.077,0.05,10.2,1,FE001,COMFEED 621,JAPFA,C,Brooding ,Chicken,1,0,0,1,enramycin,10,15.4
75-001,75-001_2,2,75-001_2_2,2,203,0.139,0.09,18.27,1,FE001,COMFEED 621,JAPFA,C,Brooding ,Chicken,1,0,0,1,enramycin,10,15.44444444
75-001,75-001_2,2,75-001_2_3,3,202,0.193,0.25,50.5,1,FE001,COMFEED 621,JAPFA,C,Brooding ,Chicken,1,0,0,1,enramycin,10,7.72
75-001,75-001_2,2,75-001_2_4,4,202,0.246,0.43,86.86,1,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,5.720930233
75-001,75-001_2,2,75-001_2_5,5,202,0.293,0.53,107.06,1,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,5.528301887
75-001,75-001_2,2,75-001_2_6,6,152,0.309,0.63,95.76,1,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,4.904761905
75-001,75-001_2,2,75-001_2_7,7,152,0.319,0.69,104.88,1,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,4.623188406
75-001,75-001_2,2,75-001_2_8,8,150,0.347,0.74,111,1,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,4.689189189
75-001,75-001_2,2,75-001_2_9,9,150,0.374,0.83,124.5,1,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,4.506024096
75-001,75-001_2,2,75-001_2_10,10,150,0.402,0.91,136.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_2,2,75-001_2_11,11,150,0.423,1,150,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_2,2,75-001_2_12,12,139,0.444,1.14,158.46,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_2,2,75-001_2_13,13,139,0.464,1.32,183.48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_2,2,75-001_2_14,14,139,0.485,1.4,194.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_2,2,75-001_2_15,15,133,0.513,1.42,188.86,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_2,2,75-001_2_16,16,133,0.534,1.51,200.83,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_2,2,75-001_2_17,17,123,0.547,1.56,191.88,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_2,2,75-001_2_18,18,113,0.561,1.6,180.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_2,2,75-001_2_19,19,90,0.568,1.69,152.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_2,2,75-001_2_20,20,90,0.589,1.77,159.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_2,2,75-001_2_21,21,90,0.658,1.81,162.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_2,2,75-001_2_22,22,90,0.728,1.86,167.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_2,2,75-001_2_23,23,90,0.755,1.93,173.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_2,2,75-001_2_24,24,70,0.762,2,140,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_3,3,75-001_3_1,1,202,0.077,0.05,10.1,1,FE001,COMFEED 621,JAPFA,C,Brooding ,Chicken,1,0,0,1,enramycin,10,15.4
75-001,75-001_3,3,75-001_3_2,2,200,0.139,0.09,18,1,FE001,COMFEED 621,JAPFA,C,Brooding ,Chicken,1,0,0,1,enramycin,10,15.44444444
75-001,75-001_3,3,75-001_3_3,3,200,0.193,0.25,50,1,FE001,COMFEED 621,JAPFA,C,Brooding ,Chicken,1,0,0,1,enramycin,10,7.72
75-001,75-001_3,3,75-001_3_4,4,148,0.246,0.43,63.64,1,FE001,COMFEED 621,JAPFA,C,Brooding ,Chicken,1,0,0,1,enramycin,10,5.720930233
75-001,75-001_3,3,75-001_3_5,5,148,0.293,0.53,78.44,1,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,5.528301887
75-001,75-001_3,3,75-001_3_6,6,148,0.309,0.63,93.24,1,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,4.904761905
75-001,75-001_3,3,75-001_3_7,7,132,0.319,0.69,91.08,1,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,4.623188406
75-001,75-001_3,3,75-001_3_8,8,124,0.347,0.74,91.76,1,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,4.689189189
75-001,75-001_3,3,75-001_3_9,9,124,0.374,0.83,102.92,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_3,3,75-001_3_10,10,123,0.402,0.91,111.93,1,FE049,COMFEED 253X,JAPFA,M,Finishing,Pig ,0,NA,NA,NA,NA,NA,NA
75-001,75-001_3,3,75-001_3_11,11,123,0.423,1,123,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_3,3,75-001_3_12,12,123,0.444,1.14,140.22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_3,3,75-001_3_13,13,123,0.464,1.32,162.36,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_3,3,75-001_3_14,14,123,0.485,1.4,172.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_3,3,75-001_3_15,15,123,0.513,1.42,174.66,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_3,3,75-001_3_16,16,123,0.534,1.51,185.73,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_3,3,75-001_3_17,17,120,0.547,1.56,187.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_3,3,75-001_3_18,18,60,0.561,1.6,96,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_4,4,75-001_4_1,1,240,0.077,0.05,12,1,FE001,COMFEED 621,JAPFA,C,Brooding ,Chicken,1,0,0,1,enramycin,10,15.4
75-001,75-001_4,4,75-001_4_2,2,240,0.139,0.09,21.6,1,FE001,COMFEED 621,JAPFA,C,Brooding ,Chicken,1,0,0,1,enramycin,10,15.44444444
75-001,75-001_4,4,75-001_4_3,3,240,0.193,0.25,60,2,FE001,COMFEED 621,JAPFA,C,Brooding ,Chicken,1,0,0,1,enramycin,10,3.86
75-001,75-001_4,4,75-001_4_3,3,240,0.193,0.25,60,2,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,3.86
75-001,75-001_4,4,75-001_4_4,4,240,0.246,0.43,103.2,2,FE001,COMFEED 621,JAPFA,C,Brooding ,Chicken,1,0,0,1,enramycin,10,2.860465116
75-001,75-001_4,4,75-001_4_4,4,240,0.246,0.43,103.2,2,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,2.860465116
75-001,75-001_4,4,75-001_4_5,5,238,0.293,0.53,126.14,1,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,5.528301887
75-001,75-001_4,4,75-001_4_6,6,236,0.309,0.63,148.68,1,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,4.904761905
75-001,75-001_4,4,75-001_4_7,7,232,0.319,0.69,160.08,1,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,4.623188406
75-001,75-001_4,4,75-001_4_8,8,232,0.347,0.74,171.68,1,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,4.689189189
75-001,75-001_4,4,75-001_4_9,9,227,0.374,0.83,188.41,1,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,4.506024096
75-001,75-001_4,4,75-001_4_10,10,220,0.402,0.91,200.2,1,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,4.417582418
75-001,75-001_4,4,75-001_4_11,11,210,0.423,1,210,1,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,4.23
75-001,75-001_4,4,75-001_4_12,12,203,0.444,1.14,231.42,1,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,3.894736842
75-001,75-001_4,4,75-001_4_13,13,203,0.464,1.32,267.96,1,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,3.515151515
75-001,75-001_4,4,75-001_4_14,14,203,0.485,1.4,284.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_4,4,75-001_4_15,15,203,0.513,1.42,288.26,1,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,3.612676056
75-001,75-001_4,4,75-001_4_16,16,203,0.534,1.51,306.53,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_4,4,75-001_4_17,17,130,0.547,1.56,202.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_4,4,75-001_4_18,18,85,0.561,1.6,136,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_4,4,75-001_4_19,19,85,0.568,1.69,143.65,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_4,4,75-001_4_20,20,85,0.589,1.77,150.45,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_5,5,75-001_5_1,1,300,0.077,0.05,15,1,FE001,COMFEED 621,JAPFA,C,Brooding ,Chicken,1,0,0,1,enramycin,10,15.4
75-001,75-001_5,5,75-001_5_2,2,300,0.139,0.09,27,1,FE001,COMFEED 621,JAPFA,C,Brooding ,Chicken,1,0,0,1,enramycin,10,15.44444444
75-001,75-001_5,5,75-001_5_3,3,300,0.193,0.25,75,1,FE001,COMFEED 621,JAPFA,C,Brooding ,Chicken,1,0,0,1,enramycin,10,7.72
75-001,75-001_5,5,75-001_5_4,4,300,0.246,0.43,129,1,FE001,COMFEED 621,JAPFA,C,Brooding ,Chicken,1,0,0,1,enramycin,10,5.720930233
75-001,75-001_5,5,75-001_5_5,5,299,0.293,0.53,158.47,2,FE001,COMFEED 621,JAPFA,C,Brooding ,Chicken,1,0,0,1,enramycin,10,2.764150943
75-001,75-001_5,5,75-001_5_5,5,299,0.293,0.53,158.47,2,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,2.764150943
75-001,75-001_5,5,75-001_5_6,6,290,0.309,0.63,182.7,1,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,4.904761905
75-001,75-001_5,5,75-001_5_7,7,284,0.319,0.69,195.96,1,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,4.623188406
75-001,75-001_5,5,75-001_5_8,8,284,0.347,0.74,210.16,1,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,4.689189189
75-001,75-001_5,5,75-001_5_9,9,283,0.374,0.83,234.89,1,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,4.506024096
75-001,75-001_5,5,75-001_5_10,10,283,0.402,0.91,257.53,1,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,4.417582418
75-001,75-001_5,5,75-001_5_11,11,283,0.423,1,283,1,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,4.23
75-001,75-001_5,5,75-001_5_12,12,280,0.444,1.14,319.2,1,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,3.894736842
75-001,75-001_5,5,75-001_5_13,13,280,0.464,1.32,369.6,1,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,3.515151515
75-001,75-001_5,5,75-001_5_14,14,280,0.485,1.4,392,1,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,3.464285714
75-001,75-001_5,5,75-001_5_15,15,260,0.513,1.42,369.2,1,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,3.612676056
75-001,75-001_5,5,75-001_5_16,16,59,0.534,1.51,89.09,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_5,5,75-001_5_17,17,40,0.547,1.56,62.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_6,6,75-001_6_1,1,204,0.077,0.05,10.2,1,FE001,COMFEED 621,JAPFA,C,Brooding ,Chicken,1,0,0,1,enramycin,10,15.4
75-001,75-001_6,6,75-001_6_2,2,195,0.139,0.09,17.55,1,FE001,COMFEED 621,JAPFA,C,Brooding ,Chicken,1,0,0,1,enramycin,10,15.44444444
75-001,75-001_6,6,75-001_6_3,3,195,0.193,0.25,48.75,1,FE001,COMFEED 621,JAPFA,C,Brooding ,Chicken,1,0,0,1,enramycin,10,7.72
75-001,75-001_6,6,75-001_6_4,4,190,0.246,0.43,81.7,1,FE001,COMFEED 621,JAPFA,C,Brooding ,Chicken,1,0,0,1,enramycin,10,5.720930233
75-001,75-001_6,6,75-001_6_5,5,189,0.293,0.53,100.17,2,FE001,COMFEED 621,JAPFA,C,Brooding ,Chicken,1,0,0,1,enramycin,10,2.764150943
75-001,75-001_6,6,75-001_6_5,5,189,0.293,0.53,100.17,2,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,2.764150943
75-001,75-001_6,6,75-001_6_6,6,176,0.309,0.63,110.88,1,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,4.904761905
75-001,75-001_6,6,75-001_6_7,7,165,0.319,0.69,113.85,1,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,4.623188406
75-001,75-001_6,6,75-001_6_8,8,165,0.347,0.74,122.1,1,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,4.689189189
75-001,75-001_6,6,75-001_6_9,9,162,0.374,0.83,134.46,1,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,4.506024096
75-001,75-001_6,6,75-001_6_10,10,162,0.402,0.91,147.42,1,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,4.417582418
75-001,75-001_6,6,75-001_6_11,11,162,0.423,1,162,1,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,4.23
75-001,75-001_6,6,75-001_6_12,12,162,0.444,1.14,184.68,1,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,3.894736842
75-001,75-001_6,6,75-001_6_13,13,162,0.464,1.32,213.84,1,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,3.515151515
75-001,75-001_6,6,75-001_6_14,14,162,0.485,1.4,226.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_6,6,75-001_6_15,15,162,0.513,1.42,230.04,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_6,6,75-001_6_16,16,152,0.534,1.51,229.52,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_6,6,75-001_6_17,17,100,0.547,1.56,156,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_6,6,75-001_6_18,18,60,0.561,1.6,96,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_7,7,75-001_7_1,1,202,0.077,0.05,10.1,1,FE001,COMFEED 621,JAPFA,C,Brooding ,Chicken,1,0,0,1,enramycin,10,15.4
75-001,75-001_7,7,75-001_7_2,2,198,0.139,0.09,17.82,1,FE001,COMFEED 621,JAPFA,C,Brooding ,Chicken,1,0,0,1,enramycin,10,15.44444444
75-001,75-001_7,7,75-001_7_3,3,198,0.193,0.25,49.5,1,FE001,COMFEED 621,JAPFA,C,Brooding ,Chicken,1,0,0,1,enramycin,10,7.72
75-001,75-001_7,7,75-001_7_4,4,180,0.246,0.43,77.4,2,FE001,COMFEED 621,JAPFA,C,Brooding ,Chicken,1,0,0,1,enramycin,10,2.860465116
75-001,75-001_7,7,75-001_7_4,4,180,0.246,0.43,77.4,2,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,2.860465116
75-001,75-001_7,7,75-001_7_5,5,180,0.293,0.53,95.4,2,FE001,COMFEED 621,JAPFA,C,Brooding ,Chicken,1,0,0,1,enramycin,10,2.764150943
75-001,75-001_7,7,75-001_7_5,5,180,0.293,0.53,95.4,2,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,2.764150943
75-001,75-001_7,7,75-001_7_6,6,180,0.309,0.63,113.4,1,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,4.904761905
75-001,75-001_7,7,75-001_7_7,7,180,0.319,0.69,124.2,1,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,4.623188406
75-001,75-001_7,7,75-001_7_8,8,180,0.347,0.74,133.2,1,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,4.689189189
75-001,75-001_7,7,75-001_7_9,9,180,0.374,0.83,149.4,1,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,4.506024096
75-001,75-001_7,7,75-001_7_10,10,179,0.402,0.91,162.89,2,FE049,COMFEED 253X,JAPFA,M,Finishing,Pig ,0,NA,NA,NA,NA,NA,NA
75-001,75-001_7,7,75-001_7_10,10,179,0.402,0.91,162.89,2,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,2.208791209
75-001,75-001_7,7,75-001_7_11,11,179,0.423,1,179,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_7,7,75-001_7_12,12,179,0.444,1.14,204.06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_7,7,75-001_7_13,13,179,0.464,1.32,236.28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_7,7,75-001_7_14,14,179,0.485,1.4,250.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_7,7,75-001_7_15,15,179,0.513,1.42,254.18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_7,7,75-001_7_16,16,179,0.534,1.51,270.29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_7,7,75-001_7_17,17,179,0.547,1.56,279.24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_7,7,75-001_7_18,18,140,0.561,1.6,224,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_7,7,75-001_7_19,19,100,0.568,1.69,169,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-001,75-001_7,7,75-001_7_20,20,73,0.589,1.77,129.21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-002,75-002_1,1,75-002_1_1,1,505,0.077,0.05,25.25,1,FE001,COMFEED 621,JAPFA,C,Brooding ,Chicken,1,0,0,1,enramycin,10,15.4
75-002,75-002_1,1,75-002_1_2,2,500,0.139,0.09,45,1,FE001,COMFEED 621,JAPFA,C,Brooding ,Chicken,1,0,0,1,enramycin,10,15.44444444
75-002,75-002_1,1,75-002_1_3,3,498,0.193,0.25,124.5,1,FE001,COMFEED 621,JAPFA,C,Brooding ,Chicken,1,0,0,1,enramycin,10,7.72
75-002,75-002_1,1,75-002_1_4,4,493,0.246,0.43,211.99,1,FE001,COMFEED 621,JAPFA,C,Brooding ,Chicken,1,0,0,1,enramycin,10,5.720930233
75-002,75-002_1,1,75-002_1_5,5,492,0.293,0.53,260.76,2,FE001,COMFEED 621,JAPFA,C,Brooding ,Chicken,1,0,0,1,enramycin,10,2.764150943
75-002,75-002_1,1,75-002_1_5,5,492,0.293,0.53,260.76,2,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,2.764150943
75-002,75-002_1,1,75-002_1_6,6,486,0.309,0.63,306.18,1,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,4.904761905
75-002,75-002_1,1,75-002_1_7,7,484,0.319,0.69,333.96,1,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,4.623188406
75-002,75-002_1,1,75-002_1_8,8,484,0.347,0.74,358.16,1,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,4.689189189
75-002,75-002_1,1,75-002_1_9,9,484,0.374,0.83,401.72,1,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,4.506024096
75-002,75-002_1,1,75-002_1_10,10,484,0.402,0.91,440.44,2,FE003,COMFEED 623,JAPFA,P,Finishing,Chicken,0,NA,NA,NA,NA,NA,NA
75-002,75-002_1,1,75-002_1_10,10,484,0.402,0.91,440.44,2,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,2.208791209
75-002,75-002_1,1,75-002_1_11,11,484,0.423,1,484,2,FE003,COMFEED 623,JAPFA,P,Finishing,Chicken,0,NA,NA,NA,NA,NA,NA
75-002,75-002_1,1,75-002_1_11,11,484,0.423,1,484,2,FE004,COMFEED 622X,JAPFA,P,Growing ,Chicken,1,0,0,1,enramycin,10,2.115
